evaka_id|effica_id|name
340edc22-a1bc-11eb-b615-1bd3e33f2938|407|Niemenrannan päiväkoti
49c59e66-a1bc-11eb-b6c8-23d70833eae8|484|Norlandia Hilla
49c59f42-a1bc-11eb-b6c9-2370ebb50535|519|Norlandia Ideapark
3f34b084-323c-11ec-a635-bfe6d2e4e1a0|547|Norlandia Kunto
3f669218-a1bc-11eb-b66e-9b8920ac31fd|489|Norlandia Voitto
3f6692a4-a1bc-11eb-b66f-fb92f0dd0f7d|1|Olkahisen päiväkoti
3f669330-a1bc-11eb-b670-df094dfff829|521|Oravametsä Atala
3f6693b2-a1bc-11eb-b671-3f03dab16f18|526|Oravametsä Iidesranta
3f66943e-a1bc-11eb-b672-27e7d2eb1a90|522|Oravametsä Kumpula
340edeac-a1bc-11eb-b616-b7c83dfda8bd|537|Oravametsä Tammela
3f6694c0-a1bc-11eb-b673-a3f5e0bc2a6e|11|Orimuksen päiväkoti
84bbafc2-3ba6-11ec-8650-3be60ea4a195|202|Pääskysen päiväkoti
49c5a064-a1bc-11eb-b6cb-ffcaf7c1d08c|5|Pallopuiston päiväkoti
3f66954c-a1bc-11eb-b674-db5187792ade|64|Pappilan päiväkoti
3f66954c-a1bc-11eb-b674-db5187792ade|535|Pappilan päiväkoti
dae87ee2-3558-11ec-ba99-eb78a5b5820d|65|Pelipuiston päiväkoti
3f6695d8-a1bc-11eb-b675-57fa7ccc8329|543|Pellervon päiväkoti
3f6695d8-a1bc-11eb-b675-57fa7ccc8329|441|Pellervon päiväkoti
49c5a0fa-a1bc-11eb-b6cc-cf72b72d0b5b|66|Peltolammin päiväkoti
340edf9c-a1bc-11eb-b617-33638eee98d9|444|Peltovainion päiväkoti
446f78b6-3559-11ec-8283-1f2964e7ada7|426|Piiriniityn päiväkoti
b696ae8c-3559-11ec-8285-e3768bca983d|357|Pikku-Muotialan päiväkoti
3f669664-a1bc-11eb-b676-733af2b8be63|440|Pikkupursi
49c5a17c-a1bc-11eb-b6cd-7f08a0582653|455|Pikku Tutkijan Päiväkoti Annala
3f6696e6-a1bc-11eb-b677-03f068abb555|506|Pikku Tutkijan Päiväkoti Ranta-Koivisto
340ee032-a1bc-11eb-b618-f7add927b64b|490|Pikku Tutkijan Päiväkoti Siivikkala
340ee0c8-a1bc-11eb-b619-ff393108c819|462|Pikku Tutkijan Päiväkoti Tammela
49c5a208-a1bc-11eb-b6ce-9f03c5328b31|486|Pilke Haikara
49c5a294-a1bc-11eb-b6cf-9b58d91ec33e|457|Pilke Hokaus
1c87eb46-3264-11ec-8ac6-8b5416cae76d|550|Pilke Huippu
3f669772-a1bc-11eb-b678-831384f512b8|511|Pilke Kangasalan Enkku
3f6697f4-a1bc-11eb-b679-77284b5ecad1|482|Pilke Kannel
3f669880-a1bc-11eb-b67a-2b91eccc3584|538|Pilke Kiuru
8ff757a6-152c-11ec-828e-8f8bc60d380c|549|Pilke Komeetta
37c0c238-323d-11ec-a637-5b5f33720ff1|551|Pilke Lamminranta
49c5a320-a1bc-11eb-b6d0-cbc94cdca895|470|Pilke Nuottisilta
340ee35c-a1bc-11eb-b61a-6ffdd8142d1d|467|Pilke Peppi & Bobby
43d23404-0668-11ec-9cef-df4afc569d2f|502|Pilke Pispala
49c5a3ac-a1bc-11eb-b6d1-372854c96ea0|485|Pilke Playschool Lempäälä
340ee406-a1bc-11eb-b61b-a3fd599e6c71|67|Pispalan päiväkoti
340ee492-a1bc-11eb-b61c-1f12b0e92e58|429|Pitkäniemen päiväkoti
a67ac8f8-2055-11ec-b183-ffadc9db5cda|68|Pohjolan päiväkoti
0dbbc2b0-355a-11ec-8287-f3dfff9a1dcc|72|Pulmusen päiväkoti
340ee51e-a1bc-11eb-b61d-0b47c0fb9504|69|Raholan päiväkoti
49c5a42e-a1bc-11eb-b6d2-131aa8ed1ba8|428|Rantaperkiön päiväkoti
49c5a4ba-a1bc-11eb-b6d3-47f3459c5f9c|281|Satoramin päiväkoti
49c5a546-a1bc-11eb-b6d4-4f037962987a|269|Sinilintu
3f669a42-a1bc-11eb-b67c-c35e769d3393|71|Sorilan päiväkoti
3f669ace-a1bc-11eb-b67d-2b82668ce31c|539|Steinerpäiväkoti Teeri
49c5a5d2-a1bc-11eb-b6d5-0f7457aad578|532|Sunshine Hervanta
340ee5aa-a1bc-11eb-b61e-772ce9c174c0|453|Sunshine Pyynikki
340ee636-a1bc-11eb-b61f-6ba110e19a47|505|Sunshine Sorsapuisto
340ef180-a1bc-11eb-b620-5360d5a3d303|115|Svenska Barndaghemmet
340ef270-a1bc-11eb-b621-af3a65f8d007|6|Tahmelan päiväkoti
3f669b5a-a1bc-11eb-b67e-1f48d600fe86|442|Takahuhdin päiväkoti
49c5a69a-a1bc-11eb-b6d6-73f324947c69|469|Talvitien päiväkoti
3f669be6-a1bc-11eb-b67f-7b2304f7c558|73|Tasanteen päiväkoti
2b01df8a-3591-11ec-90b0-a7b515760c3b|90|Teerentien päiväkoti
340ef2fc-a1bc-11eb-b622-63cfea9bccb7|413|Tesoman kerho
340ef392-a1bc-11eb-b623-d7824c8e8f88|3|Tesoman päiväkoti
340ef392-a1bc-11eb-b623-d7824c8e8f88|510|Tesoman päiväkoti
340ef41e-a1bc-11eb-b624-1bfeb277865e|75|Tohlopin päiväkoti
3f669cfe-a1bc-11eb-b681-8341342c465c|523|Touhula Freesia
49c5a73a-a1bc-11eb-b6d7-638f39d6710f|536|Touhula Hermion
49c5a7c6-a1bc-11eb-b6d8-63841e30de8a|487|Touhula Hervannan Kampus
49c5a852-a1bc-11eb-b6d9-fbb331d07ac6|461|Touhula Hervannan Wäiski
3f669d80-a1bc-11eb-b682-5f686e60d889|463|Touhula Kaleva
3f669e0c-a1bc-11eb-b683-b7a12c7c34d6|433|Touhula Kangasala
44c6bfce-355c-11ec-b7ed-9b7c75c9aa43|508|Touhula Nokia
340ef4aa-a1bc-11eb-b625-07189dae29ea|431|Touhula SatuVekara
340ef536-a1bc-11eb-b626-0360a3b3213b|488|Touhula Saukonmäki
340ef5b8-a1bc-11eb-b627-6bdd4b3efa81|265|Touhula Star Academy, Tampere
49c5a8d4-a1bc-11eb-b6da-87a15eadd557|423|Touhula TemppuVekara
340ef644-a1bc-11eb-b628-8fee89b6f3a2|509|Touhula Touhukas
3f669e8e-a1bc-11eb-b684-1b6c50ee8afd|456|Touhula VekaraMäki
340ef6d0-a1bc-11eb-b629-fb17475ac9fd|454|Touhula VekaraMetsä
340ef752-a1bc-11eb-b62a-ff11a3b42ee3|434|Touhula VekaraPolku
340ef7d4-a1bc-11eb-b62b-1bc2d4a19246|497|Touhula Ylöjärvi
49c5a96a-a1bc-11eb-b6db-4bed9d2058cd|4|Tuomikujan päiväkoti
3f669f1a-a1bc-11eb-b685-1778ff8f6e4d|76|Turtolan päiväkoti
340ef860-a1bc-11eb-b62c-57695496fead|270|Väripilkku
49c5aa00-a1bc-11eb-b6dc-a399fb930c3a|459|Vaskitähti
49c5ab54-a1bc-11eb-b6dd-9f0165d0922e|78|Vehmaisten päiväkoti
49c5abea-a1bc-11eb-b6de-1f85e12e9851|79|Veisun päiväkoti
49c5ac76-a1bc-11eb-b6df-3bfb70e89935|81|Viinikan päiväkoti
340ef8ec-a1bc-11eb-b62d-6717b5e87c85|2|Villilän päiväkoti
43d2cdba-3651-11ec-8bac-0f6af20fd8a8|410|Vuoreksen kerho
49c5ad8e-a1bc-11eb-b6e1-17107fb70b70|377|Vuoreksen päiväkoti
